"Timestamp","What is your age?","  What is your gender?  ","What is your current level of education?","What is your average grade or GPA? (Enter % or GPA)","How many hours do you sleep per night (on average)?","How many hours per day do you study (outside of class)?","  How many hours per day do you spend on screens (non-academic)?  ","How often do you engage in physical activity?","How would you rate your diet/nutrition?","  How often do you use social media?  ","  Do you participate in extracurricular activities?  ","How would you rate your current stress or mental health level?  "
"2025/07/14 9:38:43 PM GMT+5:30","21","Male","UG","61","4-6 hours","1-2","1-2","Always","Somewhat healthy","Frequently","Occasionally","High"
"2025/07/14 9:38:48 PM GMT+5:30","18","Female","UG","8","6-8 hours","1-2","3-4","Always","Somewhat healthy","Frequently","Occasionally","High"
"2025/07/14 9:39:13 PM GMT+5:30","20","Female","UG","8.6","4-6 hours","1-2","5-6","Sometimes","Neutral","Rarely","Yes","Moderate"
"2025/07/14 9:41:08 PM GMT+5:30","19","Female","UG","7.8","6-8 hours","1-2","3-4","Sometimes","Neutral","Constantly","Occasionally","Moderate"
"2025/07/14 9:41:45 PM GMT+5:30","21","Male","UG","6.3","6-8 hours","3-4","1-2","Always","Very healthy;Neutral","Rarely","Occasionally","Moderate"
"2025/07/14 9:42:09 PM GMT+5:30","21","Female","UG","7.68","6-8 hours","1-2","1-2","Sometimes","Somewhat healthy","Frequently","Yes","Low"
"2025/07/14 9:42:49 PM GMT+5:30","21","Female","High- School","74","6-8 hours","1-2","3-4","Always","Somewhat healthy","Frequently","Yes","Moderate"
"2025/07/14 9:44:17 PM GMT+5:30","21","Female","UG","7.56","4-6 hours","1-2","3-4","Sometimes","Somewhat healthy","Frequently","Yes","Very Low"
"2025/07/14 9:44:23 PM GMT+5:30","20","Male","UG","70%","6-8 hours","1-2","5-6","Sometimes","Somewhat healthy","Frequently","Occasionally","Moderate"
"2025/07/14 9:44:46 PM GMT+5:30","21","Female","UG","7.9","4-6 hours","3-4","1-2","Often","Neutral","Frequently","No","Low"
"2025/07/14 9:45:35 PM GMT+5:30","21","Female","UG","70%","6-8 hours","3-4","1-2","Sometimes","Neutral","Frequently","Occasionally","Moderate"
"2025/07/14 9:46:03 PM GMT+5:30","20","Male","UG","80%","6-8 hours","1-2","5-6","Sometimes","Neutral","Frequently","Yes","Low"
"2025/07/14 9:48:55 PM GMT+5:30","20","Female","High- School","70%","6-8 hours","1-2","More than 6","Sometimes","Neutral","Frequently","No","Low"
"2025/07/14 9:51:03 PM GMT+5:30","22","Male","UG","7.16","6-8 hours","1-2","3-4","Sometimes","Somewhat healthy;Neutral","Rarely","Occasionally","Moderate"
"2025/07/14 9:53:19 PM GMT+5:30","19","Female","UG","79%","4-6 hours","1-2","3-4","Sometimes","Somewhat unhealthy","Constantly","Occasionally","Moderate"
"2025/07/14 9:54:31 PM GMT+5:30","20","Female","UG","75%","6-8 hours","1-2","3-4","Sometimes","Neutral","Constantly","Occasionally","Moderate"
"2025/07/14 9:54:35 PM GMT+5:30","22","Male","UG","70","more than 8 hours","1-2","5-6","Never","Somewhat unhealthy","Frequently","No","Moderate"
