PROBLEM,ACTION,FUEL_RISK_FLAG,CO_OCCURRENCE_FLAG
"right eng, all valve covers are leaking.",REMOVED & REPLACED ALL ROCKER GASKETS.,1,0
vacuum tube & oil cooler line are rubbing together.,"MOVED ADEL CLAMP & APPLIED 2 ZIP TIES, NO DEFECTS NOTED",1,0
fuel press 32 - 33 w/ jumps into red.,CLEANED TRANSDUCER GROUND PATH. FUEL PRESS CHECKED GOOD,1,0
last daily shut down idle over ride speed check - engine rpm,"RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD.",1,0
#2 oil return line hose clamp is loose.,TIGHTENED HOSE CLAMP.,1,0
#2 & 4 cyl oil return line clamps loose.,TIGHTENED CLAMPS.,1,0
engine runs rough after start. engine shut down when power t,"STARTED A/C, VERIFIED ENGINE RUNS VERY ROUGH. #3 EGT WA",1,0
engine runs rough after start. engine shut down when power t,PERFORMED SI 388C ON ALL 4 CYLINDERS. REAMED EXHAUST VA,1,0
bracket securing oil line to #2 cylinder broken.,REMOVED & REPLACED BRACKET.,1,0
#3 cylinder oil return line been chafing on wire bundle.,LEAK CHECK GOOD.,1,0
#3 cylinder oil return line been chafing on wire bundle.,REMOVED & REPLACED OIL RETURN LINE.,1,0
oil psi switch wiring grommet is missing.,INSTALLED NEW GROMMET.,1,0
#3 cylinder has valve sticking.,INSTALLED REMAINING ITEMS.,1,0
#3 cylinder has valve sticking.,"REMOVED CYL, INSTALLED REPAIRED CYL, TWO -28 PUSH RODS",1,0
"engine rough on start, suspect stuck valve.","INSP'D, FOUND #3 CYL EXHAUST VALVE STUCK OPEN, CONTACTE",1,0
"engine rough on start, suspect stuck valve.","TORQUED CYL BASE, INSTALLED REMAINING LINES, TUBES, BAF",1,0
oil return line clamps loose.,TIGHTENED OIL RETURN LINE CLAMPS.,1,0
#1 & 3 cyl fuel inj lines standoff loose by oil filler tube.,TIGHTENED SCREW.,1,0
engine idle @ 1700 rpm during shut down. no rise in rpm on m,"ADJUSTED IDLE SPEEDS & MIXTURE RISE, OPS CHECK GOOD.",1,0
#3 cylinder oil return line leaking on rubber hose section.,TIGHTENED CLAMPS ON RUBBER HOSE SECTION.,1,0
cyl #1 oil return line chafing.,REMOVED & REPLACED OIL DRAIN LINE.,1,0
#4 cyl rocker drain line clamp loose & leaks noted.,SECURED DRAIN CLAMP & TIGHTENING. CLEANED LEAKS IN AREA,1,0
#2 cylinder has a stuck valve.,"CHECKED VALVE GUIDE CLEARANCE, CHECK OK. CLEANED SPARK",1,0
#2 & 4 cyl oil return line hose clamps loose.,TIGHTENED CLAMPS.,1,0
stand off needed for fuel line on top of eng.,CLAMPED STAND OFF @ PUSH ROD TUBE.,1,0
cyl #2 intake valve push rod i/b seal is leaking.,LEAK CHECK GOOD.,1,0
